COHORTE,CAMPUS,FACULTAD,CARRERA,DOMICILIO_CIUDAD,DOMICILIO_COMUNA,DOMICILIO_PROVINCIA,DOMICILIO_REGION_D,GRUPO_ANHO_EGRESO,UNIDAD_EDUCATIVA,DEPENDENCIA,TIPO_EDUCACION,POSICION_LISTA_POST,GRUPO_ED_PADRES,SEXO,COMUNA_COLEGIO,REGION_COLEGIO,1RA_PREFERENCIA,PTJE_LENGUAJE,PTJE_MATEMATICAS,PTJE_NEM,FINANCIAMIENTO,GRATUIDAD,TRABAJA_Y_ESTUDIA,HIJOS,DISCAPACIDAD,SITUACION_DE_POSTULACION,CERCANIA,DESERTA_1ER_ANHO,AMBAS_PRUEBAS,MAX_PTJE,EDAD_EGRESO_COLEGIO,EDAD_INGRESO_UNIV
2017,TALCA,FACULTAD DE CIENCIAS DE LA SALUD,TECNOLOGIA MEDICA,RENGO,RENGO,CACHAPOAL,REGION DEL LIBERTADOR BERNARDO OHIGGINS,ANOS ANTERIORES,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,42,ALGUNO PROFESIONAL,HOMBRE,RENGO,6,1,603,620,744,SI,NO,No,No,No,SELECCIONADO,LEJOS,0,0,MATEMATICAS,17,19
2017,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL INDUSTRIAL,TALCA,MAULE,TALCA,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,46,NINGUNO PROFESIONAL,HOMBRE,TALCA,7,1,534,572,740,SI,SI,No,No,No,SELECCIONADO,LEJOS,0,0,CIENCIAS,18,19
2017,TALCA,FACULTAD DE CIENCIAS AGRARIAS,AGRONOMIA,TALCA,SAN CLEMENTE,TALCA,REGION DEL MAULE,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,61,NINGUNO PROFESIONAL,HOMBRE,TALCA,7,1,650,593,558,NO,NO,Si,No,No,SELECCIONADO,CERCA,0,1,LENGUAJE,18,19
2017,TALCA,FACULTAD DE CIENCIAS DE LA SALUD,TECNOLOGIA MEDICA,SANTA CRUZ,SANTA CRUZ,CARDENAL CARO,REGION DEL LIBERTADOR BERNARDO OHIGGINS,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,14,NINGUNO PROFESIONAL,HOMBRE,SANTA CRUZ,6,1,639,664,729,NO,NO,No,No,No,SELECCIONADO,LEJOS,0,0,CIENCIAS,18,19
2017,TALCA,FACULTAD DE PSICOLOGIA,PSICOLOGIA,TALCA,TALCA,TALCA,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR PAGADO,CIENTIFICO HUMANISTA,80,ALGUNO PROFESIONAL,MUJER,TALCA,7,1,603,647,637,NO,NO,No,No,No,SELECCIONADO,CERCA,0,1,MATEMATICAS,17,18
2018,TALCA,FACULTAD DE CIENCIAS AGRARIAS,AGRONOMIA,SANTIAGO,LA FLORIDA,CORDILLERA,REGION METROPOLITANA DE SANTIAGO,ANOS ANTERIORES,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,35,NINGUNO PROFESIONAL,HOMBRE,LA FLORIDA,13,1,573,605,589,NO,NO,Si,No,No,SELECCIONADO,LEJOS,0,1,CIENCIAS,18,23
2018,TALCA,FACULTAD DE CIENCIAS JURIDICAS Y SOCIALES,ADMINISTRACION PUBLICA- TALCA,TALCA,CUREPTO,TALCA,REGION DEL MAULE,ANOS ANTERIORES,1,MUNICIPAL,CIENTIFICO HUMANISTA,10,ALGUNO PROFESIONAL,HOMBRE,CUREPTO,7,1,628,495,641,SI,SI,Si,No,No,SELECCIONADO,CERCA,0,0,HISTORIA,17,21
2018,TALCA,FACULTAD DE CIENCIAS DE LA SALUD,ODONTOLOGIA,SAN FERNANDO,PERALILLO,CARDENAL CARO,REGION DEL LIBERTADOR BERNARDO OHIGGINS,ANOS ANTERIORES,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,4,NINGUNO PROFESIONAL,MUJER,SANTA CRUZ,6,0,620,656,775,NO,NO,No,No,No,SELECCIONADO,LEJOS,0,0,MATEMATICAS,17,19
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL EN COMPUTACION,TALCA,TALCA,TALCA,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,54,NINGUNO PROFESIONAL,HOMBRE,TALCA,7,0,551,570,528,NO,NO,No,No,No,SELECCIONADO,LEJOS,1,1,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL EN COMPUTACION,TALCA,TALCA,TALCA,REGION DEL MAULE,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,10,AMBOS PROFESIONALES,HOMBRE,TALCA,7,1,580,636,698,NO,NO,No,No,No,SELECCIONADO,LEJOS,1,0,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL EN COMPUTACION,RANCAGUA,RANCAGUA,CACHAPOAL,REGION DEL LIBERTADOR BERNARDO OHIGGINS,ULTIMO ANO,1,PARTICULAR PAGADO,CIENTIFICO HUMANISTA,38,AMBOS PROFESIONALES,HOMBRE,RANCAGUA,6,1,580,619,538,NO,NO,No,No,No,SELECCIONADO,LEJOS,0,0,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL EN COMPUTACION,CURICO,CURICO,CURICO,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,36,ALGUNO PROFESIONAL,HOMBRE,CURICO,7,1,551,596,579,NO,NO,No,No,No,SELECCIONADO,CERCA,0,1,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL EN COMPUTACION,CURICO,CURICO,CURICO,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,TECNICO PROFESIONAL,15,NINGUNO PROFESIONAL,HOMBRE,CURICO,7,1,510,558,699,SI,SI,No,No,No,SELECCIONADO,CERCA,0,1,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL EN COMPUTACION,CURICO,CURICO,CURICO,REGION DEL MAULE,ULTIMO ANO,2,PARTICULAR SUBVENCIONADO,TECNICO PROFESIONAL,13,NINGUNO PROFESIONAL,HOMBRE,CURICO,7,1,503,619,699,SI,SI,Si,No,No,SELECCIONADO,CERCA,0,0,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL EN COMPUTACION,CURICO,SAGRADA FAMILIA,CURICO,REGION DEL MAULE,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,12,NINGUNO PROFESIONAL,HOMBRE,CURICO,7,1,620,544,723,SI,SI,No,No,No,SELECCIONADO,CERCA,1,1,LENGUAJE,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL EN COMPUTACION,TALCA,TALCA,TALCA,REGION DEL MAULE,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,40,NINGUNO PROFESIONAL,MUJER,TALCA,7,1,537,558,579,NO,NO,Si,No,No,SELECCIONADO,LEJOS,0,0,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL EN COMPUTACION,TALCA,TALCA,TALCA,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,TECNICO PROFESIONAL,32,NINGUNO PROFESIONAL,HOMBRE,TALCA,7,1,523,586,601,NO,NO,No,No,No,SELECCIONADO,LEJOS,0,0,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL EN COMPUTACION,TALCA,PENCAHUE,TALCA,REGION DEL MAULE,ULTIMO ANO,3,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,11,NINGUNO PROFESIONAL,HOMBRE,TALCA,7,1,716,619,661,SI,SI,No,No,No,SELECCIONADO,LEJOS,0,1,HISTORIA,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL EN COMPUTACION,RANCAGUA,RANCAGUA,CACHAPOAL,REGION DEL LIBERTADOR BERNARDO OHIGGINS,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,61,NINGUNO PROFESIONAL,HOMBRE,RANCAGUA,6,1,530,623,486,SI,SI,No,No,No,SELECCIONADO,LEJOS,0,1,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL EN COMPUTACION,CURICO,CURICO,CURICO,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,56,NINGUNO PROFESIONAL,HOMBRE,CURICO,7,1,530,536,544,SI,SI,No,No,No,SELECCIONADO,CERCA,0,0,CIENCIAS,18,19
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL EN COMPUTACION,CURICO,CURICO,CURICO,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,14,NINGUNO PROFESIONAL,HOMBRE,CURICO,7,1,503,558,719,NO,NO,Si,No,No,SELECCIONADO,CERCA,0,0,CIENCIAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL EN COMPUTACION,CURICO,TENO,CURICO,REGION DEL MAULE,ULTIMO ANO,3,PARTICULAR SUBVENCIONADO,TECNICO PROFESIONAL,59,NINGUNO PROFESIONAL,HOMBRE,TENO,7,0,573,527,535,SI,SI,Si,No,No,SELECCIONADO,CERCA,0,0,LENGUAJE,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL EN COMPUTACION,RANCAGUA,RANCAGUA,CACHAPOAL,REGION DEL LIBERTADOR BERNARDO OHIGGINS,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,52,NINGUNO PROFESIONAL,HOMBRE,RANCAGUA,6,0,489,614,507,NO,NO,No,No,No,SELECCIONADO,LEJOS,1,1,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL EN COMPUTACION,SAN FERNANDO,SAN FERNANDO,CARDENAL CARO,REGION DEL LIBERTADOR BERNARDO OHIGGINS,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,7,NINGUNO PROFESIONAL,HOMBRE,SAN FERNANDO,6,1,604,586,713,SI,SI,Si,No,No,SELECCIONADO,LEJOS,0,1,LENGUAJE,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL EN COMPUTACION,CURICO,CURICO,CURICO,REGION DEL MAULE,ULTIMO ANO,2,PARTICULAR SUBVENCIONADO,TECNICO PROFESIONAL,8,NINGUNO PROFESIONAL,HOMBRE,CURICO,7,1,620,610,703,SI,SI,No,No,No,SELECCIONADO,CERCA,0,0,LENGUAJE,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL EN COMPUTACION,CURICO,ROMERAL,CURICO,REGION DEL MAULE,ULTIMO ANO,3,PARTICULAR SUBVENCIONADO,TECNICO PROFESIONAL,45,NINGUNO PROFESIONAL,HOMBRE,TENO,7,1,604,581,556,SI,SI,Si,No,No,SELECCIONADO,CERCA,0,1,LENGUAJE,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL EN COMPUTACION,LINARES,LINARES,CAUQUENES,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,37,NINGUNO PROFESIONAL,MUJER,LINARES,7,1,530,640,558,SI,SI,No,No,No,SELECCIONADO,LEJOS,0,1,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL DE MINAS,SAN FERNANDO,CHIMBARONGO,CARDENAL CARO,REGION DEL LIBERTADOR BERNARDO OHIGGINS,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,30,NINGUNO PROFESIONAL,HOMBRE,CHIMBARONGO,6,0,551,586,558,NO,NO,No,No,No,SELECCIONADO,LEJOS,1,0,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL DE MINAS,CURICO,RAUCO,CURICO,REGION DEL MAULE,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,59,NINGUNO PROFESIONAL,HOMBRE,CURICO,7,0,580,570,523,NO,NO,No,No,Si,SELECCIONADO,CERCA,1,1,HISTORIA,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL DE MINAS,TALCA,TALCA,TALCA,REGION DEL MAULE,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,64,NINGUNO PROFESIONAL,MUJER,TALCA,7,0,503,564,544,NO,NO,No,No,No,SELECCIONADO,LEJOS,1,0,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL DE MINAS,CURICO,RAUCO,CURICO,REGION DEL MAULE,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,50,NINGUNO PROFESIONAL,HOMBRE,CURICO,7,1,566,558,544,NO,NO,No,No,No,SELECCIONADO,CERCA,1,1,LENGUAJE,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL DE MINAS,CURICO,SAGRADA FAMILIA,CURICO,REGION DEL MAULE,ULTIMO ANO,2,PARTICULAR SUBVENCIONADO,TECNICO PROFESIONAL,26,NINGUNO PROFESIONAL,HOMBRE,CURICO,7,0,503,518,641,SI,SI,No,No,No,SELECCIONADO,CERCA,1,1,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL DE MINAS,RENGO,RENGO,CACHAPOAL,REGION DEL LIBERTADOR BERNARDO OHIGGINS,ULTIMO ANO,1,MUNICIPAL,TECNICO PROFESIONAL,32,NINGUNO PROFESIONAL,HOMBRE,RENGO,6,1,558,518,566,SI,SI,No,No,No,SELECCIONADO,LEJOS,0,0,CIENCIAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL DE MINAS,LINARES,SAN JAVIER,CAUQUENES,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,10,NINGUNO PROFESIONAL,HOMBRE,SAN JAVIER,7,1,637,581,647,SI,SI,No,No,No,SELECCIONADO,LEJOS,0,0,LENGUAJE,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL DE MINAS,CURICO,CURICO,CURICO,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,17,NINGUNO PROFESIONAL,HOMBRE,CURICO,7,1,551,586,637,SI,NO,No,No,Si,SELECCIONADO,CERCA,0,0,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL DE MINAS,CURICO,CURICO,CURICO,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,36,NINGUNO PROFESIONAL,HOMBRE,CURICO,7,1,481,605,564,SI,SI,Si,No,No,SELECCIONADO,CERCA,0,0,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL DE MINAS,SANTIAGO,RENCA,CORDILLERA,REGION METROPOLITANA DE SANTIAGO,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,69,ALGUNO PROFESIONAL,HOMBRE,SANTIAGO,13,0,580,581,476,NO,NO,No,No,No,SELECCIONADO,LEJOS,1,0,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL DE MINAS,TALCA,TALCA,TALCA,REGION DEL MAULE,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,37,NINGUNO PROFESIONAL,MUJER,TALCA,7,1,450,558,595,NO,NO,No,No,No,SELECCIONADO,LEJOS,1,0,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL ELECTRICA,TALCA,TALCA,TALCA,REGION DEL MAULE,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,50,NINGUNO PROFESIONAL,HOMBRE,TALCA,7,1,551,623,528,SI,SI,Si,No,No,SELECCIONADO,LEJOS,0,0,CIENCIAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL ELECTRICA,CONSTITUCION,CONSTITUCION,TALCA,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR PAGADO,CIENTIFICO HUMANISTA,28,NINGUNO PROFESIONAL,HOMBRE,CONSTITUCION,7,1,646,640,579,NO,NO,No,No,No,SELECCIONADO,LEJOS,1,0,CIENCIAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL ELECTRICA,TALCA,TALCA,TALCA,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,1,NINGUNO PROFESIONAL,HOMBRE,TALCA,7,1,674,713,781,SI,SI,No,No,No,SELECCIONADO,LEJOS,0,0,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL ELECTRICA,TALCA,TALCA,TALCA,REGION DEL MAULE,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,52,NINGUNO PROFESIONAL,HOMBRE,TALCA,7,1,604,644,528,NO,NO,No,No,No,LISTA DE ESPERA,LEJOS,1,0,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL ELECTRICA,CURICO,RAUCO,CURICO,REGION DEL MAULE,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,21,NINGUNO PROFESIONAL,HOMBRE,CURICO,7,1,503,544,698,SI,NO,No,No,No,SELECCIONADO,CERCA,0,0,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL ELECTRICA,TALCA,TALCA,TALCA,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,TECNICO PROFESIONAL,15,NINGUNO PROFESIONAL,HOMBRE,TALCA,7,1,612,527,699,NO,NO,No,No,No,SELECCIONADO,LEJOS,0,0,LENGUAJE,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL ELECTRICA,TALCA,TALCA,TALCA,REGION DEL MAULE,ULTIMO ANO,3,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,8,NINGUNO PROFESIONAL,HOMBRE,TALCA,7,1,620,644,678,SI,NO,No,No,No,SELECCIONADO,LEJOS,0,1,CIENCIAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL ELECTRICA,MELIPILLA,MELIPILLA,TALAGANTE,REGION METROPOLITANA DE SANTIAGO,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,35,NINGUNO PROFESIONAL,HOMBRE,MELIPILLA,13,0,489,605,616,SI,SI,No,No,No,SELECCIONADO,LEJOS,0,0,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL ELECTRICA,CONSTITUCION,CONSTITUCION,TALCA,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,6,NINGUNO PROFESIONAL,HOMBRE,CONSTITUCION,7,1,596,685,702,SI,SI,Si,No,No,SELECCIONADO,LEJOS,0,0,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL ELECTRICA,CONSTITUCION,CONSTITUCION,TALCA,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,23,NINGUNO PROFESIONAL,MUJER,CONSTITUCION,7,1,551,570,672,SI,SI,No,No,No,SELECCIONADO,LEJOS,0,0,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL ELECTRICA,RANCAGUA,LAS CABRAS,CACHAPOAL,REGION DEL LIBERTADOR BERNARDO OHIGGINS,ULTIMO ANO,1,MUNICIPAL,CIENTIFICO HUMANISTA,9,NINGUNO PROFESIONAL,HOMBRE,LAS CABRAS,6,1,612,660,661,SI,SI,No,No,No,SELECCIONADO,LEJOS,0,0,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL ELECTRICA,CURICO,TENO,CURICO,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,CIENTIFICO HUMANISTA,19,NINGUNO PROFESIONAL,HOMBRE,CURICO,7,1,530,656,626,SI,SI,No,No,No,SELECCIONADO,CERCA,0,0,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL ELECTRICA,CURICO,CURICO,CURICO,REGION DEL MAULE,ULTIMO ANO,2,PARTICULAR SUBVENCIONADO,TECNICO PROFESIONAL,14,NINGUNO PROFESIONAL,HOMBRE,CURICO,7,1,573,581,672,SI,SI,No,No,No,SELECCIONADO,CERCA,0,0,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL ELECTRICA,CURICO,CURICO,CURICO,REGION DEL MAULE,ULTIMO ANO,2,MUNICIPAL,TECNICO PROFESIONAL,47,NINGUNO PROFESIONAL,HOMBRE,CURICO,7,1,510,518,597,NO,NO,No,No,No,SELECCIONADO,CERCA,0,1,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL ELECTRICA,CURICO,ROMERAL,CURICO,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR PAGADO,CIENTIFICO HUMANISTA,22,AMBOS PROFESIONALES,MUJER,CURICO,7,1,523,648,637,NO,NO,No,No,No,SELECCIONADO,CERCA,0,1,MATEMATICAS,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL ELECTRICA,CURICO,CURICO,CURICO,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR SUBVENCIONADO,TECNICO PROFESIONAL,20,NINGUNO PROFESIONAL,HOMBRE,CURICO,7,1,620,591,621,NO,NO,No,No,No,SELECCIONADO,CERCA,0,0,LENGUAJE,17,18
2018,CURICO,FACULTAD DE INGENIERIA,INGENIERIA CIVIL EN OBRAS CIVILES,TALCA,TALCA,TALCA,REGION DEL MAULE,ULTIMO ANO,1,PARTICULAR PAGADO,CIENTIFICO HUMANISTA,2,NINGUNO PROFESIONAL,HOMBRE,TALCA,7,1,604,685,754,SI,SI,No,No,No,SELECCIONADO,LEJOS,0,0,MATEMATICAS,17,18
